k,display_name,context,metric,mean,std
43.0,Chemprop (default),average,balanced_accuracy,0.6533753299423793,0.05025805259713254
44.0,Chemprop (default),average,balanced_accuracy,0.653697608864676,0.050753143424743075
45.0,Chemprop (default),average,balanced_accuracy,0.6534751301202074,0.050718230390238
46.0,Chemprop (default),average,balanced_accuracy,0.653132449383748,0.05044073857821291
47.0,Chemprop (default),average,balanced_accuracy,0.6527863799045209,0.05099143529956454
48.0,Chemprop (default),average,balanced_accuracy,0.6532211544926989,0.05002116660639758
49.0,Chemprop (default),average,balanced_accuracy,0.6534969212347302,0.050877065786462033
50.0,Chemprop (default),average,balanced_accuracy,0.6536747265150495,0.050434187476455
51.0,Chemprop (default),average,balanced_accuracy,0.6535705232572456,0.049926749932255245
52.0,Chemprop (default),average,balanced_accuracy,0.6536430905431753,0.05023056133463819
53.0,Chemprop (default),average,balanced_accuracy,0.6529379095791369,0.05044864666787599
54.0,Chemprop (default),average,balanced_accuracy,0.6534179136745034,0.050378479619902446
55.0,Chemprop (default),average,balanced_accuracy,0.6532305153924759,0.05021791337168913
56.0,Chemprop (default),average,balanced_accuracy,0.6536395545288279,0.05037371636954185
57.0,Chemprop (default),average,balanced_accuracy,0.6530220745060134,0.050758018621219696
58.0,Chemprop (default),average,balanced_accuracy,0.6539462757114807,0.049945281938641735
59.0,Chemprop (default),average,balanced_accuracy,0.6532104083431121,0.051434531824872454
60.0,Chemprop (default),average,balanced_accuracy,0.6534020760871962,0.05053907533532772
61.0,Chemprop (default),average,balanced_accuracy,0.6532333666977095,0.051679007012305336
62.0,Chemprop (default),average,balanced_accuracy,0.6536974519331226,0.05085108227611297
63.0,Chemprop (default),average,balanced_accuracy,0.6536801594325571,0.051510880337832445
64.0,Chemprop (default),average,balanced_accuracy,0.6536849492910756,0.05168387451962897
65.0,Chemprop (default),average,balanced_accuracy,0.6523534826130246,0.05179076578205882
66.0,Chemprop (default),average,balanced_accuracy,0.652774521150973,0.051354135530892804
67.0,Chemprop (default),average,balanced_accuracy,0.6524363677287561,0.05216939866872449
68.0,Chemprop (default),average,balanced_accuracy,0.6524481699588628,0.05140247888655234
69.0,Chemprop (default),average,balanced_accuracy,0.6525902383466863,0.051283540015110256
70.0,Chemprop (default),average,balanced_accuracy,0.651256327940058,0.05171186741907755
71.0,Chemprop (default),average,balanced_accuracy,0.6525811201723317,0.05120210774660914
72.0,Chemprop (default),average,balanced_accuracy,0.6524219232757054,0.05132140008205499
73.0,Chemprop (default),average,balanced_accuracy,0.6526525830138702,0.0512433839711562
74.0,Chemprop (default),average,balanced_accuracy,0.6532918101938223,0.05150946079559989
75.0,Chemprop (default),average,balanced_accuracy,0.652833513661659,0.051404049910890204
76.0,Chemprop (default),average,balanced_accuracy,0.6520963572144286,0.05178804000416416
77.0,Chemprop (default),average,balanced_accuracy,0.6523592449822057,0.05200759943728822
78.0,Chemprop (default),average,balanced_accuracy,0.651486751683349,0.052207831939522706
79.0,Chemprop (default),average,balanced_accuracy,0.6515410031022796,0.052154332959381704
80.0,Chemprop (default),average,balanced_accuracy,0.6507690120985132,0.051855565978915046
81.0,Chemprop (default),average,balanced_accuracy,0.6504850631861223,0.05254021435885493
82.0,Chemprop (default),average,balanced_accuracy,0.6514248391654145,0.052413987027229346
83.0,Chemprop (default),average,balanced_accuracy,0.6510501911847173,0.05316187078546375
84.0,Chemprop (default),average,balanced_accuracy,0.6507872239930851,0.053748157790750706
85.0,Chemprop (default),average,balanced_accuracy,0.651134765685128,0.053934344835308796
86.0,Chemprop (default),average,balanced_accuracy,0.6513476013060336,0.05322491842098665
87.0,Chemprop (default),average,balanced_accuracy,0.651349717640646,0.05369724961106633
88.0,Chemprop (default),average,balanced_accuracy,0.650306567979682,0.05441761330238589
89.0,Chemprop (default),average,balanced_accuracy,0.6505081649428326,0.05422560816666944
90.0,Chemprop (default),average,balanced_accuracy,0.6507793370605655,0.053699356092699324
91.0,Chemprop (default),average,balanced_accuracy,0.6512506796229335,0.05247179678282605
92.0,Chemprop (default),average,balanced_accuracy,0.6507611975870573,0.05393122228317369
93.0,Chemprop (default),average,balanced_accuracy,0.6512585701536441,0.05271887107060663
94.0,Chemprop (default),average,balanced_accuracy,0.6514472320451468,0.053565721737876736
95.0,Chemprop (default),average,balanced_accuracy,0.6512016372027938,0.053222021303418576
96.0,Chemprop (default),average,balanced_accuracy,0.6505896533169938,0.054341378712558286
97.0,Chemprop (default),average,balanced_accuracy,0.6514821582100726,0.052628381498344104
98.0,Chemprop (default),average,balanced_accuracy,0.651287865238993,0.05265948609802872
99.0,Chemprop (default),average,balanced_accuracy,0.651296151355079,0.05257353527798311
100.0,Chemprop (default),average,balanced_accuracy,0.6507436539647378,0.05338712363468076
101.0,Chemprop (default),average,balanced_accuracy,0.6511257566223873,0.053116595623168915
102.0,Chemprop (default),average,balanced_accuracy,0.6505335709789878,0.053140752665928916
103.0,Chemprop (default),average,balanced_accuracy,0.651060338644907,0.05293618463018525
104.0,Chemprop (default),average,balanced_accuracy,0.6506622089996051,0.05357053540136101
105.0,Chemprop (default),average,balanced_accuracy,0.6512194047865101,0.053300524406844504
106.0,Chemprop (default),average,balanced_accuracy,0.6501597473118472,0.05395259374847013
107.0,Chemprop (default),average,balanced_accuracy,0.6512748360246764,0.053795300408817116
108.0,Chemprop (default),average,balanced_accuracy,0.6508047577426727,0.05407896942262514
109.0,Chemprop (default),average,balanced_accuracy,0.6506230347567132,0.05416660659468892
110.0,Chemprop (default),average,balanced_accuracy,0.6505353356791298,0.05441054899625412
111.0,Chemprop (default),average,balanced_accuracy,0.6505901954745057,0.05418303456489653
