model,benchmark,score
MolCLR,polaris/adme-fang-rclint-1,0.5273544108629985
CheMeleon,polaris/adme-fang-rclint-1,0.7540787213203008
MiniCheMeleon,polaris/adme-fang-rclint-1,0.7107947405809039
RF,polaris/adme-fang-rclint-1,0.6483612894977471
fastprop,polaris/adme-fang-rclint-1,0.6804349902060638
fastprop,polaris/adme-fang-rclint-1,0.6865780819039338
MoLFormer,polaris/adme-fang-rclint-1,0.7236011874505472
MoLFormer,polaris/adme-fang-rclint-1,0.714361755632358
fastprop,polaris/adme-fang-rclint-1,0.6851278224711912
RF,polaris/adme-fang-rclint-1,0.6464926160286333
RF_Mordred,polaris/adme-fang-rclint-1,0.6442050906675219
Chemprop,polaris/adme-fang-rclint-1,0.6984992260982636
MiniCheMeleon,polaris/adme-fang-rclint-1,0.6895880580650061
minimol,polaris/adme-fang-rclint-1,0.7424773748221534
MoLFormer,polaris/adme-fang-rclint-1,0.7162816949708143
minimol,polaris/adme-fang-rclint-1,0.7360507993602234
MoLFormer,polaris/adme-fang-rclint-1,0.7276959122124786
Chemprop,polaris/adme-fang-rclint-1,0.6662869206991502
fastprop,polaris/adme-fang-rclint-1,0.6834356185236604
RF,polaris/adme-fang-rclint-1,0.6464740696107658
RF,polaris/adme-fang-rclint-1,0.6506298439480473
RF_Mordred,polaris/adme-fang-rclint-1,0.6342843257338214
MoLFormer,polaris/adme-fang-rclint-1,0.7281510457503755
minimol,polaris/adme-fang-rclint-1,0.7359894139096985
MolCLR,polaris/adme-fang-rclint-1,0.544346251541416
RF_Mordred,polaris/adme-fang-rclint-1,0.6493639594515674
MolCLR,polaris/adme-fang-rclint-1,0.5335263702785654
RF,polaris/adme-fang-rclint-1,0.6450040911565413
MolCLR,polaris/adme-fang-rclint-1,0.5413646355667361
minimol,polaris/adme-fang-rclint-1,0.6989082042777915
Chemprop,polaris/adme-fang-rclint-1,0.6843521937463056
RF_Mordred,polaris/adme-fang-rclint-1,0.6349973324108293
MiniCheMeleon,polaris/adme-fang-rclint-1,0.7259593427661447
CheMeleon,polaris/adme-fang-rclint-1,0.7441712499206925
Chemprop,polaris/adme-fang-rclint-1,0.7159101444791578
MiniCheMeleon,polaris/adme-fang-rclint-1,0.7164596785971581
MolCLR,polaris/adme-fang-rclint-1,0.5648865915044958
fastprop,polaris/adme-fang-rclint-1,0.6689941010586801
Chemprop,polaris/adme-fang-rclint-1,0.6951542598912497
CheMeleon,polaris/adme-fang-rclint-1,0.7411589637767434
minimol,polaris/adme-fang-rclint-1,0.7479982547182376
CheMeleon,polaris/adme-fang-rclint-1,0.7427290708544603
RF,polaris/adme-fang-perm-1,0.7147388191493275
MoLFormer,polaris/adme-fang-perm-1,0.7838752761631055
MoLFormer,polaris/adme-fang-perm-1,0.7940605090042357
RF_Mordred,polaris/adme-fang-perm-1,0.7226575658732739
fastprop,polaris/adme-fang-perm-1,0.7497276420801129
MiniCheMeleon,polaris/adme-fang-perm-1,0.7510817179966566
CheMeleon,polaris/adme-fang-perm-1,0.8232539216979715
MiniCheMeleon,polaris/adme-fang-perm-1,0.7321794462898669
RF_Mordred,polaris/adme-fang-perm-1,0.7297352986685504
fastprop,polaris/adme-fang-perm-1,0.7399800198301233
MoLFormer,polaris/adme-fang-perm-1,0.7874704469571652
RF,polaris/adme-fang-perm-1,0.7194948807137258
Chemprop,polaris/adme-fang-perm-1,0.6713831330953548
fastprop,polaris/adme-fang-perm-1,0.749812092808102
MiniCheMeleon,polaris/adme-fang-perm-1,0.7614073322808801
minimol,polaris/adme-fang-perm-1,0.7896882268056373
Chemprop,polaris/adme-fang-perm-1,0.6988393132095868
MiniCheMeleon,polaris/adme-fang-perm-1,0.7479910848321956
Chemprop,polaris/adme-fang-perm-1,0.7145584468046873
MolCLR,polaris/adme-fang-perm-1,0.422525873344049
MoLFormer,polaris/adme-fang-perm-1,0.8004687350665166
RF,polaris/adme-fang-perm-1,0.7156557706086468
fastprop,polaris/adme-fang-perm-1,0.7365469065828796
RF_Mordred,polaris/adme-fang-perm-1,0.7260280586863765
RF,polaris/adme-fang-perm-1,0.7180276436903776
MoLFormer,polaris/adme-fang-perm-1,0.7943214828943682
minimol,polaris/adme-fang-perm-1,0.7839008135648361
fastprop,polaris/adme-fang-perm-1,0.7446911697084346
minimol,polaris/adme-fang-perm-1,0.7908687284667666
CheMeleon,polaris/adme-fang-perm-1,0.796287971929639
Chemprop,polaris/adme-fang-perm-1,0.7030461555877876
minimol,polaris/adme-fang-perm-1,0.7940918660136109
MiniCheMeleon,polaris/adme-fang-perm-1,0.747461787753048
CheMeleon,polaris/adme-fang-perm-1,0.7927713240681578
CheMeleon,polaris/adme-fang-perm-1,0.8139506884258298
RF_Mordred,polaris/adme-fang-perm-1,0.7302612661195375
MolCLR,polaris/adme-fang-perm-1,0.42938893337062467
RF_Mordred,polaris/adme-fang-perm-1,0.7224413017476272
Chemprop,polaris/adme-fang-perm-1,0.6980057866897077
MolCLR,polaris/adme-fang-perm-1,0.4472655587647629
minimol,polaris/adme-fang-perm-1,0.8027336946541437
RF,polaris/adme-fang-perm-1,0.7176096501289605
MolCLR,polaris/adme-fang-perm-1,0.4445423035118629
CheMeleon,polaris/adme-fang-perm-1,0.796131616717727
MolCLR,polaris/adme-fang-perm-1,0.44060168745722184
CheMeleon,tdcommons/bbb-martins,0.8778533458411507
CheMeleon,tdcommons/bbb-martins,0.8690978736710445
minimol,tdcommons/bbb-martins,0.9175656660412757
MolCLR,tdcommons/bbb-martins,0.850140712945591
RF_Mordred,tdcommons/bbb-martins,0.8763289555972483
MiniCheMeleon,tdcommons/bbb-martins,0.8903025328330206
Chemprop,tdcommons/bbb-martins,0.8623749218261412
MiniCheMeleon,tdcommons/bbb-martins,0.8827782989368355
MolCLR,tdcommons/bbb-martins,0.8621404002501564
CheMeleon,tdcommons/bbb-martins,0.9028298936835523
minimol,tdcommons/bbb-martins,0.8974749843652282
CheMeleon,tdcommons/bbb-martins,0.8997029393370857
MoLFormer,tdcommons/bbb-martins,0.8920419011882427
MolCLR,tdcommons/bbb-martins,0.8431832395247029
Chemprop,tdcommons/bbb-martins,0.8951297686053784
MoLFormer,tdcommons/bbb-martins,0.8854752970606629
fastprop,tdcommons/bbb-martins,0.913578799249531
RF_Mordred,tdcommons/bbb-martins,0.8736319574734208
Chemprop,tdcommons/bbb-martins,0.8651110068792996
minimol,tdcommons/bbb-martins,0.9142041901188241
RF,tdcommons/bbb-martins,0.9167839274546592
minimol,tdcommons/bbb-martins,0.9018918073796124
MiniCheMeleon,tdcommons/bbb-martins,0.8986085053158224
MoLFormer,tdcommons/bbb-martins,0.9029080675422139
Chemprop,tdcommons/bbb-martins,0.8112883051907441
CheMeleon,tdcommons/bbb-martins,0.8801594746716698
MolCLR,tdcommons/bbb-martins,0.8558083176985617
fastprop,tdcommons/bbb-martins,0.9182301438399
RF,tdcommons/bbb-martins,0.9051360225140711
MiniCheMeleon,tdcommons/bbb-martins,0.891729205753596
MiniCheMeleon,tdcommons/bbb-martins,0.8687851782363977
RF_Mordred,tdcommons/bbb-martins,0.8828369293308319
MolCLR,tdcommons/bbb-martins,0.8574890556597873
RF_Mordred,tdcommons/bbb-martins,0.877482020012508
fastprop,tdcommons/bbb-martins,0.9186991869918699
minimol,tdcommons/bbb-martins,0.9135201688555347
MoLFormer,tdcommons/bbb-martins,0.863156660412758
RF,tdcommons/bbb-martins,0.9143214509068168
fastprop,tdcommons/bbb-martins,0.9148295809881175
MoLFormer,tdcommons/bbb-martins,0.8723420888055035
RF,tdcommons/bbb-martins,0.9180737961225766
fastprop,tdcommons/bbb-martins,0.9014227642276423
RF_Mordred,tdcommons/bbb-martins,0.874960913070669
Chemprop,tdcommons/bbb-martins,0.8851626016260162
RF,tdcommons/bbb-martins,0.9119762351469668
minimol,polaris/adme-fang-solu-1,0.6823835813116489
MolCLR,polaris/adme-fang-solu-1,0.5071055620109537
CheMeleon,polaris/adme-fang-solu-1,0.6346485607975018
Chemprop,polaris/adme-fang-solu-1,0.6150160215445122
MolCLR,polaris/adme-fang-solu-1,0.4933802513643362
Chemprop,polaris/adme-fang-solu-1,0.6110900500211651
MolCLR,polaris/adme-fang-solu-1,0.5093380743158173
MolCLR,polaris/adme-fang-solu-1,0.5112003310229661
CheMeleon,polaris/adme-fang-solu-1,0.6450086396884953
RF,polaris/adme-fang-solu-1,0.5782783995626744
minimol,polaris/adme-fang-solu-1,0.6909682575136458
MiniCheMeleon,polaris/adme-fang-solu-1,0.5774449968611113
minimol,polaris/adme-fang-solu-1,0.7002235502040565
RF_Mordred,polaris/adme-fang-solu-1,0.5373560942826231
fastprop,polaris/adme-fang-solu-1,0.5836965562479778
RF,polaris/adme-fang-solu-1,0.5739950882493573
minimol,polaris/adme-fang-solu-1,0.6810489080559204
minimol,polaris/adme-fang-solu-1,0.6797753242150979
MoLFormer,polaris/adme-fang-solu-1,0.5689684884920423
MiniCheMeleon,polaris/adme-fang-solu-1,0.6225399631693301
Chemprop,polaris/adme-fang-solu-1,0.587287999625133
RF_Mordred,polaris/adme-fang-solu-1,0.5301240232229776
MiniCheMeleon,polaris/adme-fang-solu-1,0.6177380461289217
CheMeleon,polaris/adme-fang-solu-1,0.6685387371281728
Chemprop,polaris/adme-fang-solu-1,0.5906870444756219
fastprop,polaris/adme-fang-solu-1,0.5866155015957892
MoLFormer,polaris/adme-fang-solu-1,0.597589101677514
CheMeleon,polaris/adme-fang-solu-1,0.6536492133297891
